Function                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module           Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                            Source File     Start Address
-------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  ---------------  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  --------------  -------------
LB::smoothenInterface                                                                                                                                          18493.157s               18493.157s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           LB::smoothenInterface(double&)                                                                                                                                                                                                                                                                                                                                                                                             LB.cpp          0x462ed0     
LB::streaming._omp_fn.1                                                                                                                                         3978.943s                3978.943s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           LB::streaming._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                    LB.cpp          0x451880     
operator*                                                                                                                                                       2572.052s                2572.052s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           operator*(double const&, tVect const&)                                                                                                                                                                                                                                                                                                                                                                                     myvector.inl    0x463df4     
node::store                                                                                                                                                     2254.056s                2254.056s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           node::store(void)                                                                                                                                                                                                                                                                                                                                                                                                          node.cpp        0x464b90     
gomp_team_barrier_wait_end                                                                                                                                      1868.693s                       0s           1826.816s                                        1826.816s                                  0s                        0s                 41.878s                          41.878s                                 0s                                0s                              0s                            0s  libgomp.so.1     gomp_team_barrier_wait_end                                                                                                                                                                                                                                                                                                                                                                                                 bar.c           0x207b0      
LB::updateMass._omp_fn.1                                                                                                                                        1791.947s                1791.947s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           LB::updateMass._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                   LB.cpp          0x44b0d0     
node::computeApparentViscosity                                                                                                                                  1734.435s                1734.435s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           node::computeApparentViscosity(double const*, FluidMaterial const&)                                                                                                                                                                                                                                                                                                                                                        node.cpp        0x4640d0     
LB::streaming                                                                                                                                                   1476.829s                1476.829s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           LB::streaming(std::vector<wall, std::allocator<wall>>&, std::vector<object, std::allocator<object>>&)                                                                                                                                                                                                                                                                                                                      LB.cpp          0x44fb30     
gomp_simple_barrier_wait                                                                                                                                        1368.245s                  30.952s           1337.293s                                        1337.293s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1     gomp_simple_barrier_wait                                                                                                                                                                                                                                                                                                                                                                                                   simple-bar.h    0x1dd90      
node::addForce                                                                                                                                                  1285.077s                1285.077s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           node::addForce(double*, tVect const&)                                                                                                                                                                                                                                                                                                                                                                                      node.cpp        0x464900     
operator*                                                                                                                                                        885.945s                 885.945s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           operator*(double const&, tinyMatrix const&)                                                                                                                                                                                                                                                                                                                                                                                myvector.inl    0x46413c     
node::computeEquilibrium                                                                                                                                         806.234s                 806.234s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           node::computeEquilibrium(double*)                                                                                                                                                                                                                                                                                                                                                                                          node.cpp        0x463fe0     
do_spin                                                                                                                                                          742.080s                       0s            742.080s                                         742.080s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1     do_spin                                                                                                                                                                                                                                                                                                                                                                                                                    wait.h          0x207e0      
do_spin                                                                                                                                                          663.695s                       0s            663.695s                                         663.695s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1     do_spin                                                                                                                                                                                                                                                                                                                                                                                                                    wait.h          0x20630      
tVect::operator+=                                                                                                                                                475.457s                 475.457s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           tVect::operator+=(tVect const&)                                                                                                                                                                                                                                                                                                                                                                                            myvector.inl    0x463e15     
tVect::operator+                                                                                                                                                 442.676s                 442.676s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl    0x463e60     
gomp_ordered_sync                                                                                                                                                432.380s                   0.752s            431.628s                                               0s                            431.628s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1     gomp_ordered_sync                                                                                                                                                                                                                                                                                                                                                                                                          ordered.c       0x14000      
node::solveCollision                                                                                                                                             401.279s                 401.279s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           node::solveCollision(double const*)                                                                                                                                                                                                                                                                                                                                                                                        node.cpp        0x4645b0     
std::vector<node*, std::allocator<node*>>::erase                                                                                                                 383.372s                 383.372s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::vector<node*, std::allocator<node*>>::erase(__gnu_cxx::__normal_iterator<node* const*, std::vector<node*, std::allocator<node*>>>)                                                                                                                                                                                                                                                                                    stl_vector.h    0x463302     
tinyMatrix::operator+=                                                                                                                                           298.361s                 298.361s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           tinyMatrix::operator+=(tinyMatrix const&)                                                                                                                                                                                                                                                                                                                                                                                  myvector.inl    0x46413c     
tVect::operator-                                                                                                                                                 297.027s                 297.027s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           tVect::operator-(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl    0x464958     
tVect::dot                                                                                                                                                       219.946s                 219.946s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           tVect::dot(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                             myvector.inl    0x4649b9     
tinyMatrix::magnitude                                                                                                                                            209.470s                 209.470s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           tinyMatrix::magnitude(void) const                                                                                                                                                                                                                                                                                                                                                                                          myvector.inl    0x464210     
do_spin                                                                                                                                                          208.340s                       0s            208.340s                                               0s                            208.340s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1     do_spin                                                                                                                                                                                                                                                                                                                                                                                                                    wait.h          0x204f6      
gomp_team_end                                                                                                                                                    195.963s                   4.509s            191.454s                                         191.454s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1     gomp_team_end                                                                                                                                                                                                                                                                                                                                                                                                              team.c          0x1f300      
node::reconstruct                                                                                                                                                154.525s                 154.525s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           node::reconstruct(void)                                                                                                                                                                                                                                                                                                                                                                                                    node.cpp        0x463dc0     
