Function                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module          Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                            Source File       Start Address
-------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  --------------  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------------  -------------
gomp_simple_barrier_wait                                                                                                                                       19693.244s                 416.571s          19276.672s                                       19276.672s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1    gomp_simple_barrier_wait                                                                                                                                                                                                                                                                                                                                                                                                   simple-bar.h      0x1dd90      
LB::streaming                                                                                                                                                   7783.647s                7783.647s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::streaming(std::vector<wall, std::allocator<wall>>&, std::vector<object, std::allocator<object>>&)                                                                                                                                                                                                                                                                                                                      LB.cpp            0x44d700     
LB::updateMass._omp_fn.1                                                                                                                                        2883.653s                2883.653s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::updateMass._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                   LB.cpp            0x4475c0     
node::addForce                                                                                                                                                  2325.707s                2325.707s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::addForce(double*, tVect const&)                                                                                                                                                                                                                                                                                                                                                                                      node.cpp          0x460e30     
node::computeEquilibrium                                                                                                                                        1671.508s                1671.508s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::computeEquilibrium(double*)                                                                                                                                                                                                                                                                                                                                                                                          node.cpp          0x460510     
operator*                                                                                                                                                       1502.057s                1502.057s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          operator*(double const&, tinyMatrix const&)                                                                                                                                                                                                                                                                                                                                                                                myvector.inl      0x46066c     
node::isInsideParticle                                                                                                                                          1327.337s                1327.337s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::isInsideParticle(void) const                                                                                                                                                                                                                                                                                                                                                                                         node.cpp          0x4613e0     
gomp_ordered_sync                                                                                                                                               1320.679s                  33.550s           1287.129s                                               0s                           1287.129s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1    gomp_ordered_sync                                                                                                                                                                                                                                                                                                                                                                                                          ordered.c         0x14000      
gomp_work_share_end                                                                                                                                             1301.528s                       0s           1301.528s                                        1271.518s                                  0s                   30.010s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1    gomp_work_share_end                                                                                                                                                                                                                                                                                                                                                                                                        work.c            0x1f980      
std::set<unsigned int, std::less<unsigned int>, std::allocator<unsigned int>>::find                                                                              936.431s                 936.431s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::set<unsigned int, std::less<unsigned int>, std::allocator<unsigned int>>::find(unsigned int const&)                                                                                                                                                                                                                                                                                                                   stl_set.h         0x45f660     
node::computeApparentViscosity                                                                                                                                   920.489s                 920.489s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::computeApparentViscosity(double const*, FluidMaterial const&)                                                                                                                                                                                                                                                                                                                                                        node.cpp          0x460600     
LB::checkNewInterfaceParticles._omp_fn.0                                                                                                                         875.598s                 875.598s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::checkNewInterfaceParticles._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                   LB.cpp            0x44c320     
node::solveCollision                                                                                                                                             811.608s                 811.608s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::solveCollision(double const*)                                                                                                                                                                                                                                                                                                                                                                                        node.cpp          0x460ae0     
operator*                                                                                                                                                        709.105s                 709.105s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          operator*(double const&, tVect const&)                                                                                                                                                                                                                                                                                                                                                                                     myvector.inl      0x460324     
tinyMatrix::operator+=                                                                                                                                           572.683s                 572.683s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tinyMatrix::operator+=(tinyMatrix const&)                                                                                                                                                                                                                                                                                                                                                                                  myvector.inl      0x46066c     
tVect::operator-                                                                                                                                                 543.973s                 543.973s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator-(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x460e88     
gomp_team_barrier_wait_end                                                                                                                                       403.551s                   0.080s            395.269s                                         395.269s                                  0s                        0s                  8.203s                           8.203s                                 0s                                0s                              0s                            0s  libgomp.so.1    gomp_team_barrier_wait_end                                                                                                                                                                                                                                                                                                                                                                                                 bar.c             0x207b0      
tVect::dot                                                                                                                                                       401.001s                 401.001s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::dot(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x460ee9     
tinyMatrix::magnitude                                                                                                                                            375.468s                 375.468s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tinyMatrix::magnitude(void) const                                                                                                                                                                                                                                                                                                                                                                                          myvector.inl      0x460740     
elmt::correct                                                                                                                                                    334.076s                 334.076s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          elmt::correct(double const*, double const*)                                                                                                                                                                                                                                                                                                                                                                                elmt.cpp          0x422930     
tVect::operator+                                                                                                                                                 309.288s                 309.288s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x460390     
std::ostream::operator<<                                                                                                                                         296.249s                 296.249s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream           0x4470aa     
