Function                                                                                                                                                                                                                  CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module          Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                            Source File       Start Address
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  --------------  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------------  -------------
gomp_simple_barrier_wait                                                                                                                                                                                                20119.713s                 470.021s          19649.692s                                       19649.692s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1    gomp_simple_barrier_wait                                                                                                                                                                                                                                                                                                                                                                                                   simple-bar.h      0x1dd90      
LB::streaming                                                                                                                                                                                                            7818.637s                7818.637s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::streaming(std::vector<wall, std::allocator<wall>>&, std::vector<object, std::allocator<object>>&)                                                                                                                                                                                                                                                                                                                      LB.cpp            0x44d700     
LB::updateMass._omp_fn.1                                                                                                                                                                                                 2838.292s                2838.292s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::updateMass._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                   LB.cpp            0x4475c0     
node::addForce                                                                                                                                                                                                           2352.798s                2352.798s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::addForce(double*, tVect const&)                                                                                                                                                                                                                                                                                                                                                                                      node.cpp          0x460e30     
node::computeEquilibrium                                                                                                                                                                                                 1694.019s                1694.019s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::computeEquilibrium(double*)                                                                                                                                                                                                                                                                                                                                                                                          node.cpp          0x460510     
operator*                                                                                                                                                                                                                1515.888s                1515.888s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          operator*(double const&, tinyMatrix const&)                                                                                                                                                                                                                                                                                                                                                                                myvector.inl      0x46066c     
gomp_work_share_end                                                                                                                                                                                                      1401.267s                       0s           1401.267s                                        1365.731s                                  0s                   35.536s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1    gomp_work_share_end                                                                                                                                                                                                                                                                                                                                                                                                        work.c            0x1f980      
gomp_ordered_sync                                                                                                                                                                                                        1332.559s                  32.880s           1299.679s                                               0s                           1299.679s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1    gomp_ordered_sync                                                                                                                                                                                                                                                                                                                                                                                                          ordered.c         0x14000      
node::isInsideParticle                                                                                                                                                                                                   1260.116s                1260.116s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::isInsideParticle(void) const                                                                                                                                                                                                                                                                                                                                                                                         node.cpp          0x4613e0     
